case_id,category,source,fen,variant,move,mode,elapsed_s,completed_depth,engine_score_cp,nodes,nps,tt_cutoffs,null_tries,null_cutoffs,lmr_reductions,lmr_researches,futility_skips,repetition_draws,aspiration_retries,material_capture_deprioritized,qnodes,sf_best_move,sf_best_score,sf_candidate_score,sf_best_cp_equiv,sf_candidate_cp_equiv,cp_delta_raw,cp_loss,sf_best_expectation,sf_candidate_expectation,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,sf_best_pv,sf_candidate_pv
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,no_selectivity,d1h5,timed,3.403198583982885,4,-10,63488,18655.390930992256,207,0,0,0,0,0,0,0,0,36043,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,conservative,d1h5,timed,3.402411017974373,5,-35,61952,18208.264572598036,304,36,24,112,2,1886,0,0,16118,34863,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,baseline,c1a3,timed,3.417789707018528,6,20,50688,14830.637442646268,631,201,101,1453,8,8023,0,0,0,29819,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,no_null,c1a3,timed,3.4083077939867508,5,6,47872,14045.679819310972,558,0,0,1776,7,8874,0,0,0,27841,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,null_safe,c1a3,timed,3.405995573994005,5,6,49621,14568.721221740301,631,60,34,1334,7,6930,0,0,0,29406,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,null_no_endgame,c1a3,timed,3.4058542959974147,6,20,51456,15108.103731998011,686,216,110,1523,8,8066,0,0,0,30228,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,no_lmr,c1a3,timed,3.403452903003199,5,6,52224,15344.41682854423,325,424,294,0,0,11773,0,0,0,29334,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,lmr_safe,c1a3,timed,3.409847164002713,5,6,52169,15299.512702721973,873,183,90,497,2,11297,0,0,0,29267,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,no_futility,c1a3,timed,3.406399405997945,5,6,59904,17585.72406234037,595,174,82,1340,8,0,0,0,0,34191,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,no_selectivity,e1g1,timed,3.4080216989968903,4,29,67584,19830.859650891463,445,0,0,0,0,0,0,0,0,36214,b4e7,+53,-1,53,-1,54.0,54.0,0.548,0.5,0.04800000000000004,0.04800000000000004,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,e1g1 e7b4 c3b4 c7c6 c4d5 c6d5 f2f3 b7a6 f1e1 a6c4 a2a4 e8d7
fen_0004,fen_suite,training/data/test_fens_60.txt,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,conservative,c1a3,timed,3.401836145989364,5,6,64768,19039.129817101573,405,32,15,150,1,1124,0,0,10928,35227,b4e7,+53,+12,53,12,41.0,41.0,0.548,0.5055,0.04250000000000009,0.04250000000000009,False,False,False,b4e7 e8e7 c4d5 e6d5 c3c4 h8d8 a2a4 c7c5 e1g1 b7a6 c1a3 a8c8,c1a3 e7b4 c3b4 e8d7 a3c1 c7c6 c1d2 b7a6 c4d5 c6d5 f2f3 f6e8
fen_0005,fen_suite,training/data/test_fens_60.txt,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,baseline,f7f5,timed,3.4164915820001625,6,19,60160,17608.70722379469,473,142,70,1289,23,862,0,0,0,33579,c8d6,+21,-4,21,-4,25.0,25.0,0.521,0.496,0.025000000000000022,0.025000000000000022,False,False,False,c8d6 f2f3 f7f5 e4f5 g6f5 f3f4 f8e6 b2b3 e6d4 a1d4 h8d4 h1a8,f7f5 e4f5 g6f5 f2f4 e8h5 c1e2 a8h1 g1h1 f8e6 b2b3 h8a1 b1a1
fen_0005,fen_suite,training/data/test_fens_60.txt,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,no_null,f7f5,timed,3.4131292189995293,5,12,59904,17551.049537339026,1116,0,0,1717,20,972,0,0,0,32864,c8d6,+21,-4,21,-4,25.0,25.0,0.521,0.496,0.025000000000000022,0.025000000000000022,False,False,False,c8d6 f2f3 f7f5 e4f5 g6f5 f3f4 f8e6 b2b3 e6d4 a1d4 h8d4 h1a8,f7f5 e4f5 g6f5 f2f4 e8h5 c1e2 a8h1 g1h1 f8e6 b2b3 h8a1 b1a1
fen_0005,fen_suite,training/data/test_fens_60.txt,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,null_safe,f7f5,timed,3.404394728015177,6,19,58368,17144.897893209225,557,55,42,1086,20,790,0,0,0,32519,c8d6,+21,-4,21,-4,25.0,25.0,0.521,0.496,0.025000000000000022,0.025000000000000022,False,False,False,c8d6 f2f3 f7f5 e4f5 g6f5 f3f4 f8e6 b2b3 e6d4 a1d4 h8d4 h1a8,f7f5 e4f5 g6f5 f2f4 e8h5 c1e2 a8h1 g1h1 f8e6 b2b3 h8a1 b1a1
fen_0005,fen_suite,training/data/test_fens_60.txt,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,null_no_endgame,f7f5,timed,3.4091811149846762,6,19,59904,17571.37505446649,473,141,70,1260,23,862,0,0,0,33402,c8d6,+21,-4,21,-4,25.0,25.0,0.521,0.496,0.025000000000000022,0.025000000000000022,False,False,False,c8d6 f2f3 f7f5 e4f5 g6f5 f3f4 f8e6 b2b3 e6d4 a1d4 h8d4 h1a8,f7f5 e4f5 g6f5 f2f4 e8h5 c1e2 a8h1 g1h1 f8e6 b2b3 h8a1 b1a1
fen_0005,fen_suite,training/data/test_fens_60.txt,brnkqnrb/p1pppp1p/1p4p1/8/4P3/4N1P1/PPPP1P1P/BRNKQ1RB b - - 0 1,no_lmr,f7f5,timed,3.4040908929891884,5,11,66560,19552.944410821114,291,119,58,0,0,985,0,0,0,34558,c8d6,+21,-4,21,-4,25.0,25.0,0.521,0.496,0.025000000000000022,0.025000000000000022,False,False,False,c8d6 f2f3 f7f5 e4f5 g6f5 f3f4 f8e6 b2b3 e6d4 a1d4 h8d4 h1a8,f7f5 e4f5 g6f5 f2f4 e8h5 c1e2 a8h1 g1h1 f8e6 b2b3 h8a1 b1a1
